Date,MSCI USA Prime Value Index
2017-12-14,8431.798674
2017-12-15,8519.115254
2017-12-18,8568.649967
2017-12-19,8553.015063
2017-12-20,8573.49416
2017-12-21,8589.536725
2017-12-22,8587.130953
2017-12-25,8587.130953
2017-12-26,8578.915987
2017-12-27,8576.313788
2017-12-28,8596.967708
2017-12-29,8548.183415
2018-01-01,8548.183415
2018-01-02,8621.387733
2018-01-03,8664.986843
2018-01-04,8688.612062
2018-01-05,8751.902134
2018-01-08,8769.570446
2018-01-09,8797.215727
2018-01-10,8798.583225
2018-01-11,8886.896253
2018-01-12,8964.686321
2018-01-15,8964.686321
2018-01-16,8941.465453
2018-01-17,9047.113733
2018-01-18,9042.394996
2018-01-19,9081.95434
2018-01-22,9149.029042
2018-01-23,9157.314462
2018-01-24,9165.616986
2018-01-25,9149.020182
2018-01-26,9294.628854
2018-01-29,9254.979927
2018-01-30,9109.859928
2018-01-31,9075.642612
2018-02-01,9077.676127
2018-02-02,8867.380015
2018-02-05,8509.980171
2018-02-06,8643.705491
2018-02-07,8645.395922
2018-02-08,8329.529255
2018-02-09,8426.302148
2018-02-12,8526.865028
2018-02-13,8556.458585
2018-02-14,8691.751569
2018-02-15,8768.660098
2018-02-16,8793.266005
2018-02-19,8793.266005
2018-02-20,8698.947635
2018-02-21,8651.677946
2018-02-22,8646.862085
2018-02-23,8775.088502
2018-02-26,8898.21947
2018-02-27,8802.726045
2018-02-28,8694.469074
2018-03-01,8586.281027
2018-03-02,8635.591685
2018-03-05,8725.746404
2018-03-06,8747.154007
2018-03-07,8712.015501
2018-03-08,8717.223978
2018-03-09,8864.485109
2018-03-12,8832.582157
2018-03-13,8794.790009
2018-03-14,8721.708805
2018-03-15,8713.282849
2018-03-16,8740.429951
2018-03-19,8632.373076
2018-03-20,8619.351006
2018-03-21,8611.180371
2018-03-22,8406.126351
2018-03-23,8239.14158
2018-03-26,8481.000339
2018-03-27,8355.17835
2018-03-28,8347.757691
2018-03-29,8454.929968
2018-03-30,8454.929968
2018-04-02,8274.514049
2018-04-03,8380.94829
2018-04-04,8482.658605
2018-04-05,8531.82698
2018-04-06,8350.835329
2018-04-09,8364.192025
2018-04-10,8500.465828
2018-04-11,8460.438857
2018-04-12,8536.542856
2018-04-13,8508.061634
2018-04-16,8605.907203
2018-04-17,8669.946756
2018-04-18,8677.895823
2018-04-19,8632.063484
2018-04-20,8562.528547
2018-04-23,8587.404582
2018-04-24,8519.63119
2018-04-25,8564.448302
2018-04-26,8605.032786
2018-04-27,8598.450599
2018-04-30,8523.909606
2018-05-01,8516.427751
2018-05-02,8438.132073
2018-05-03,8363.441075
2018-05-04,8471.953538
2018-05-07,8469.275614
2018-05-08,8464.260304
2018-05-09,8527.302197
2018-05-10,8607.136406
2018-05-11,8642.014732
2018-05-14,8674.434497
2018-05-15,8639.469004
