Date,MSCI USA Value Exposure Select Index
2012-01-25,2334.328331
2012-01-26,2316.191695
2012-01-27,2307.840115
2012-01-30,2300.40156
2012-01-31,2299.737576
2012-02-01,2330.86774
2012-02-02,2331.222429
2012-02-03,2368.498759
2012-02-06,2367.603825
2012-02-07,2369.902134
2012-02-08,2382.74653
2012-02-09,2382.490751
2012-02-10,2364.422172
2012-02-13,2377.727418
2012-02-14,2376.385862
2012-02-15,2370.385269
2012-02-16,2408.646606
2012-02-17,2414.372624
2012-02-20,2414.372624
2012-02-21,2415.773764
2012-02-22,2402.596173
2012-02-23,2405.295981
2012-02-24,2405.080869
2012-02-27,2411.245396
2012-02-28,2416.730018
2012-02-29,2402.10191
2012-03-01,2420.297153
2012-03-02,2410.244192
2012-03-05,2404.555797
2012-03-06,2364.63128
2012-03-07,2380.717048
2012-03-08,2401.229377
2012-03-09,2409.42238
2012-03-12,2407.244
2012-03-13,2447.198308
2012-03-14,2443.602411
2012-03-15,2457.149112
2012-03-16,2460.009502
2012-03-19,2461.353284
2012-03-20,2450.396536
2012-03-21,2446.515242
2012-03-22,2428.574593
2012-03-23,2439.80386
2012-03-26,2472.60256
2012-03-27,2462.741863
2012-03-28,2447.119118
2012-03-29,2446.496313
2012-03-30,2455.939113
2012-04-02,2473.750166
2012-04-03,2451.345609
2012-04-04,2425.312524
2012-04-05,2419.376638
2012-04-06,2419.376638
2012-04-09,2387.352428
2012-04-10,2347.078245
2012-04-11,2366.061055
2012-04-12,2403.687905
2012-04-13,2377.414297
2012-04-16,2385.995647
2012-04-17,2418.8257
2012-04-18,2408.507321
2012-04-19,2401.537337
2012-04-20,2408.701742
2012-04-23,2390.16318
2012-04-24,2400.046233
2012-04-25,2422.214828
2012-04-26,2437.790509
2012-04-27,2437.885234
2012-04-30,2427.894099
2012-05-01,2442.678117
2012-05-02,2434.498471
2012-05-03,2411.301589
2012-05-04,2371.424828
2012-05-07,2370.655176
2012-05-08,2357.589972
2012-05-09,2347.61032
2012-05-10,2356.717871
2012-05-11,2347.882937
2012-05-14,2324.586239
2012-05-15,2307.421863
2012-05-16,2294.374392
2012-05-17,2263.416377
2012-05-18,2242.446364
2012-05-21,2272.256159
2012-05-22,2273.044234
2012-05-23,2261.596946
2012-05-24,2268.517475
2012-05-25,2269.249982
2012-05-28,2269.249982
2012-05-29,2296.659021
2012-05-30,2265.068829
2012-05-31,2258.427789
2012-06-01,2201.312481
2012-06-04,2194.955949
2012-06-05,2215.8235
2012-06-06,2276.668784
2012-06-07,2270.78267
2012-06-08,2291.606201
2012-06-11,2257.862814
2012-06-12,2287.659201
2012-06-13,2270.456002
2012-06-14,2298.782813
2012-06-15,2320.121703
2012-06-18,2315.334261
2012-06-19,2345.362045
2012-06-20,2346.085037
2012-06-21,2283.573168
2012-06-22,2297.206593
2012-06-25,2250.560988
2012-06-26,2262.250727
2012-06-27,2286.257808
2012-06-28,2283.941237
2012-06-29,2342.873312
2012-07-02,2343.696142
2012-07-03,2362.957702
2012-07-04,2362.957702
2012-07-05,2347.176299
2012-07-06,2323.974947
2012-07-09,2310.287735
2012-07-10,2286.628169
2012-07-11,2287.452498
2012-07-12,2262.829125
2012-07-13,2300.980848
2012-07-16,2295.477793
2012-07-17,2315.384484
2012-07-18,2335.921823
2012-07-19,2329.066425
2012-07-20,2297.59278
2012-07-23,2272.746042
2012-07-24,2244.419588
2012-07-25,2240.138251
2012-07-26,2271.760476
2012-07-27,2318.911091
2012-07-30,2319.302529
2012-07-31,2315.766191
2012-08-01,2308.643986
2012-08-02,2287.336557
2012-08-03,2336.613331
2012-08-06,2350.6618
2012-08-07,2369.448278
2012-08-08,2383.627879
2012-08-09,2388.331344
2012-08-10,2394.939505
2012-08-13,2386.084008
2012-08-14,2379.539817
2012-08-15,2381.681937
2012-08-16,2410.655965
2012-08-17,2417.045795
2012-08-20,2422.847368
2012-08-21,2418.756567
2012-08-22,2409.249047
2012-08-23,2382.336519
2012-08-24,2391.869062
2012-08-27,2387.030237
2012-08-28,2384.529792
2012-08-29,2391.274976
2012-08-30,2373.161785
2012-08-31,2389.200923
2012-09-03,2389.200923
2012-09-04,2383.863764
2012-09-05,2386.451234
2012-09-06,2441.835912
2012-09-07,2456.526369
2012-09-10,2437.472547
2012-09-11,2452.914667
2012-09-12,2457.441404
2012-09-13,2495.827571
2012-09-14,2511.348398
2012-09-17,2491.257377
2012-09-18,2487.590334
2012-09-19,2491.977065
2012-09-20,2489.351705
2012-09-21,2486.390001
2012-09-24,2480.197205
2012-09-25,2452.350474
2012-09-26,2442.697668
2012-09-27,2464.666541
2012-09-28,2452.99372
2012-10-01,2463.555908
2012-10-02,2471.774097
2012-10-03,2472.268254
2012-10-04,2498.345536
2012-10-05,2499.320399
2012-10-08,2498.693981
2012-10-09,2480.280485
2012-10-10,2457.784188
2012-10-11,2467.878332
2012-10-12,2453.33043
2012-10-15,2475.106694
2012-10-16,2503.524747
2012-10-17,2516.421808
2012-10-18,2525.211625
2012-10-19,2484.408989
2012-10-22,2486.770505
2012-10-23,2450.522407
2012-10-24,2440.817214
2012-10-25,2451.634208
2012-10-26,2441.511832
2012-10-29,2441.511832
2012-10-30,2441.511832
2012-10-31,2453.148091
2012-11-01,2489.088682
2012-11-02,2466.542902
2012-11-05,2467.822776
2012-11-06,2495.382115
2012-11-07,2421.721699
2012-11-08,2397.067391
2012-11-09,2398.952824
2012-11-12,2395.839151
2012-11-13,2378.298893
2012-11-14,2343.596723
2012-11-15,2339.62656
2012-11-16,2345.751227
2012-11-19,2391.950636
2012-11-20,2384.1322
2012-11-21,2394.907819
2012-11-22,2394.907819
2012-11-23,2427.392396
2012-11-26,2420.358539
2012-11-27,2404.033318
2012-11-28,2426.26716
2012-11-29,2438.173271
2012-11-30,2437.240905
2012-12-03,2425.001622
2012-12-04,2429.19488
2012-12-05,2447.785202
2012-12-06,2455.580496
2012-12-07,2469.740609
2012-12-10,2480.67279
2012-12-11,2497.29313
2012-12-12,2503.742234
2012-12-13,2492.687684
2012-12-14,2487.062917
2012-12-17,2510.97832
2012-12-18,2547.840778
2012-12-19,2538.273509
2012-12-20,2552.129489
2012-12-21,2522.985246
2012-12-24,2514.390353
2012-12-25,2514.390353
2012-12-26,2509.552236
2012-12-27,2506.005368
2012-12-28,2476.428316
2012-12-31,2520.024091
2013-01-01,2520.024091
2013-01-02,2587.99562
2013-01-03,2580.363529
2013-01-04,2591.582519
2013-01-07,2583.006581
2013-01-08,2568.352715
2013-01-09,2582.934217
2013-01-10,2609.498057
2013-01-11,2607.060261
2013-01-14,2619.650466
2013-01-15,2630.586957
2013-01-16,2626.649731
2013-01-17,2643.23047
2013-01-18,2637.109738
2013-01-21,2637.109738
2013-01-22,2658.576049
2013-01-23,2662.187407
2013-01-24,2671.129503
2013-01-25,2685.67567
2013-01-28,2676.601598
2013-01-29,2685.296624
2013-01-30,2674.281978
2013-01-31,2663.527294
2013-02-01,2689.24717
2013-02-04,2661.894126
2013-02-05,2694.398627
2013-02-06,2695.189525
2013-02-07,2687.992724
2013-02-08,2699.598009
2013-02-11,2703.7017
2013-02-12,2712.760688
2013-02-13,2709.786847
2013-02-14,2708.279462
2013-02-15,2700.177268
2013-02-18,2700.177268
2013-02-19,2722.971222
2013-02-20,2678.719894
2013-02-21,2661.357033
2013-02-22,2683.811575
2013-02-25,2632.086498
2013-02-26,2650.918264
2013-02-27,2689.323186
2013-02-28,2686.933722
2013-03-01,2693.935863
2013-03-04,2703.069901
2013-03-05,2730.554656
2013-03-06,2743.10203
2013-03-07,2750.43554
2013-03-08,2766.437512
2013-03-11,2777.346798
2013-03-12,2775.847572
2013-03-13,2787.389648
2013-03-14,2802.980457
2013-03-15,2806.987429
2013-03-18,2795.357819
2013-03-19,2792.787598
2013-03-20,2811.651729
2013-03-21,2782.259166
2013-03-22,2795.736842
2013-03-25,2785.87753
2013-03-26,2811.434941
2013-03-27,2814.292044
2013-03-28,2825.512841
2013-03-29,2825.512841
